latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-2.86743,111.55764,319.48,1.31,1.13,2026-09-24,805,Aqua,MODIS,55,6.1NRT,296.83,14.1,D
-2.86591,114.5538,319.68,1,1,2026-09-24,805,Aqua,MODIS,44,6.1NRT,299.98,8.97,D
-2.85753,111.55618,335.38,1.31,1.13,2026-09-24,805,Aqua,MODIS,82,6.1NRT,298.36,38.86,D
-2.85592,111.5675,342.58,1.3,1.13,2026-09-24,805,Aqua,MODIS,92,6.1NRT,297.42,56.87,D
-2.85589,114.56121,321.12,1,1,2026-09-24,805,Aqua,MODIS,58,6.1NRT,300.32,10.02,D
-2.85521,114.88674,319.44,1,1,2026-09-24,805,Aqua,MODIS,60,6.1NRT,301.97,9.02,D
-2.85506,111.56095,340.65,1.3,1.13,2026-09-24,805,Aqua,MODIS,90,6.1NRT,298.56,52.61,D
-2.85113,110.37649,316.43,1.58,1.24,2026-09-24,805,Aqua,MODIS,41,6.1NRT,295.47,12.82,D
-2.84919,110.39016,323.5,1.58,1.24,2026-09-24,805,Aqua,MODIS,77,6.1NRT,294.74,26.69,D
-2.84581,110.38309,319.38,1.58,1.24,2026-09-24,805,Aqua,MODIS,28,6.1NRT,294.89,17.48,D
-2.84517,111.55952,324.34,1.3,1.13,2026-09-24,805,Aqua,MODIS,71,6.1NRT,296.36,21.57,D
-2.8439,114.90285,319.79,1,1,2026-09-24,805,Aqua,MODIS,72,6.1NRT,301.33,9.38,D
-2.84074,114.60344,321.26,1,1,2026-09-24,805,Aqua,MODIS,74,6.1NRT,301.4,10.75,D
-2.83947,114.61214,331.4,1,1,2026-09-24,805,Aqua,MODIS,84,6.1NRT,302.35,22.53,D
-2.82752,110.28186,322.42,1.6,1.25,2026-09-24,805,Aqua,MODIS,71,6.1NRT,295.61,24.49,D
-2.82478,112.6916,324.5,1.12,1.06,2026-09-24,805,Aqua,MODIS,79,6.1NRT,294.5,21.92,D
-2.82432,110.79111,323.35,1.47,1.2,2026-09-24,805,Aqua,MODIS,44,6.1NRT,295.26,23.99,D
-2.82336,112.70135,325.89,1.12,1.06,2026-09-24,805,Aqua,MODIS,80,6.1NRT,294.44,23.73,D
-2.77466,110.98888,325.11,1.42,1.18,2026-09-24,805,Aqua,MODIS,78,6.1NRT,296.56,26.98,D
-2.76063,111.08685,313.2,1.4,1.17,2026-09-24,805,Aqua,MODIS,52,6.1NRT,296.14,9.2,D
-2.7555,110.39785,317.59,1.57,1.23,2026-09-24,805,Aqua,MODIS,68,6.1NRT,296.22,15.71,D
-2.75276,110.39203,314.27,1.57,1.23,2026-09-24,805,Aqua,MODIS,22,6.1NRT,296.25,9.81,D
-2.74472,110.39628,315.07,1.57,1.23,2026-09-24,805,Aqua,MODIS,41,6.1NRT,295.68,11.1,D
-2.69,114.31065,332.81,1,1,2026-09-24,805,Aqua,MODIS,85,6.1NRT,298.98,24.34,D
-2.68124,114.30935,322.56,1,1,2026-09-24,805,Aqua,MODIS,75,6.1NRT,298.55,12.09,D
-2.68106,115.17838,315.89,1.01,1,2026-09-24,805,Aqua,MODIS,64,6.1NRT,299.1,6.71,D
-2.66507,115.10455,326.85,1,1,2026-09-24,805,Aqua,MODIS,80,6.1NRT,300.46,16.57,D
-2.66458,110.39317,314.39,1.57,1.23,2026-09-24,805,Aqua,MODIS,50,6.1NRT,295.66,9.59,D
-2.64061,114.96725,315.14,1,1,2026-09-24,805,Aqua,MODIS,39,6.1NRT,299.19,5.58,D
-2.63939,110.3828,318.56,1.57,1.23,2026-09-24,805,Aqua,MODIS,64,6.1NRT,295.28,14.63,D
-2.63708,112.01453,314.4,1.22,1.1,2026-09-24,805,Aqua,MODIS,25,6.1NRT,298.82,7.62,D
-2.62862,110.38124,336.31,1.57,1.23,2026-09-24,805,Aqua,MODIS,87,6.1NRT,296.35,55.61,D
-2.62751,112.01309,345.3,1.22,1.1,2026-09-24,805,Aqua,MODIS,93,6.1NRT,298.25,59.88,D
-2.62663,110.3948,333.56,1.56,1.23,2026-09-24,805,Aqua,MODIS,85,6.1NRT,296.73,47.72,D
-2.62588,115.18808,322.16,1.01,1,2026-09-24,805,Aqua,MODIS,53,6.1NRT,299.25,13.25,D
-2.61785,110.3797,317.09,1.57,1.23,2026-09-24,805,Aqua,MODIS,48,6.1NRT,295.58,13.11,D
-2.61109,114.72601,317.26,1,1,2026-09-24,805,Aqua,MODIS,61,6.1NRT,301.53,6.1,D
-2.60982,114.7347,316.99,1,1,2026-09-24,805,Aqua,MODIS,62,6.1NRT,300.9,6.09,D
-2.60507,110.54182,317.09,1.52,1.22,2026-09-24,805,Aqua,MODIS,67,6.1NRT,294.98,15.26,D
-2.57729,114.68784,317.07,1,1,2026-09-24,805,Aqua,MODIS,64,6.1NRT,300.5,6.12,D
-2.55426,114.48007,313.44,1,1,2026-09-24,805,Aqua,MODIS,59,6.1NRT,299.27,5.8,D
-2.5174,115.30069,317.24,1.01,1.01,2026-09-24,805,Aqua,MODIS,62,6.1NRT,299.99,6.93,D
-2.50605,116.36871,321.26,1.08,1.04,2026-09-24,805,Aqua,MODIS,56,6.1NRT,297.47,14.72,D
-2.46843,115.06312,316.74,1,1,2026-09-24,805,Aqua,MODIS,30,6.1NRT,298.84,6.32,D
-2.45426,111.14647,311,1.37,1.16,2026-09-24,805,Aqua,MODIS,39,6.1NRT,294.43,7.54,D
-2.45349,115.04307,321.01,1,1,2026-09-24,805,Aqua,MODIS,65,6.1NRT,299.54,10.57,D
-2.43309,116.30398,314.31,1.08,1.04,2026-09-24,805,Aqua,MODIS,58,6.1NRT,296.35,7.02,D
-2.43172,116.31337,311.13,1.08,1.04,2026-09-24,805,Aqua,MODIS,41,6.1NRT,296.06,4.18,D
-2.4182,115.34234,317.6,1.01,1.01,2026-09-24,805,Aqua,MODIS,62,6.1NRT,298.3,7.24,D
-2.40479,114.54347,319.69,1,1,2026-09-24,805,Aqua,MODIS,45,6.1NRT,299.04,9.93,D
-2.39643,115.17178,318.68,1.01,1,2026-09-24,805,Aqua,MODIS,64,6.1NRT,297.58,8.59,D
-2.38994,114.9121,322.37,1,1,2026-09-24,805,Aqua,MODIS,47,6.1NRT,298.77,12,D
-2.38429,115.37659,314.42,1.02,1.01,2026-09-24,805,Aqua,MODIS,58,6.1NRT,296.88,5.66,D
-2.383,115.38541,312.94,1.02,1.01,2026-09-24,805,Aqua,MODIS,55,6.1NRT,296.4,4.6,D
-2.3562,114.87386,317.69,1,1,2026-09-24,805,Aqua,MODIS,65,6.1NRT,298.77,7.93,D
-2.35516,115.14777,318.24,1.01,1,2026-09-24,805,Aqua,MODIS,69,6.1NRT,297.58,8.14,D
-2.35492,114.88256,320.37,1,1,2026-09-24,805,Aqua,MODIS,0,6.1NRT,297.87,10.6,D
-2.35099,115.23672,323.1,1.01,1,2026-09-24,805,Aqua,MODIS,76,6.1NRT,297.34,13.69,D
-2.32905,115.11945,320.34,1.01,1,2026-09-24,805,Aqua,MODIS,73,6.1NRT,298.12,12.25,D
-2.32776,115.1282,315.29,1.01,1,2026-09-24,805,Aqua,MODIS,64,6.1NRT,297.6,7.57,D
